0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.1368502602177354e-17,-0.4604187824831503,4.3708558539018633e-17,-0.3683101465854642,-1.492925197055831e-16,-0.7006998463050845,-1.2460802967142755e-17
-2.4984286518414527e-17,-0.9182095589479932,1.90437971258523e-17,-0.7345139294126665,-1.405152575620111e-16,-1.3973962984603139,-3.120139934044643e-17
-2.537860313287698e-17,-1.373181977118001,3.2800137331035126e-17,-1.098458907843274,-1.698523753249057e-16,-2.089799503257665,-3.98797975756389e-17
-8.761874966644712e-17,-1.8251479433445552,5.672432227863222e-17,-1.4599944537459746,-4.257972453076837e-17,-2.777623050280275,-7.843401720822561e-17
-7.167961128845355e-17,-2.2739216946145198,3.143770163707168e-17,-1.8189718092105822,-9.283205108675009e-18,-3.460584081595437,-1.0495611545740344e-16
-1.383342614429601e-16,-2.7193198691394356,-5.1298519534933264e-17,-2.1752441431226206,4.062400034602083e-17,-4.1384033992843445,-1.1310202634472448e-16
-1.4305441039731628e-16,-3.161161575502304,-1.5580704464467666e-16,-2.528666606579111,-1.0084438796554952e-16,-4.810805570771972,-7.808398395615033e-17
-1.3733603427175127e-16,-3.5992684603387164,-1.3565904641416989e-16,-2.8790963871269364,-1.3605943031358694e-16,-5.477519031921685,-8.700351678364332e-17
-1.6112693892175792e-16,-4.033464774529853,-1.2759794183196282e-16,-3.226392761805765,-8.981101034182412e-17,-6.138276187860321,-1.1501245902213536e-16
-1.6120315248019807e-16,-4.463577437885654,-1.3130036262628077e-16,-3.5704171489781356,-1.5948858738455823e-16,-6.792813511500722,-1.256996199879341e-16
-2.159306431791676e-16,-4.889436102297267,-1.5541566403153678e-16,-3.911033158929977,-2.083060003461967e-16,-7.440871639729853,-1.085291180271272e-16
-1.941203693038596e-16,-5.310873213338652,-2.251358154065517e-16,-4.248106643225416,-2.434890563844375e-16,-8.082195467231877,-6.363235851844372e-17
-1.8971003738644234e-16,-5.7277240702980246,-2.4451070895565325e-16,-4.581505742800425,-2.9945628820239516e-16,-8.71653423791679,-7.526161659284896e-17
-1.9601341649274197e-16,-6.139826884620642,-3.1661004428130203e-16,-4.911100934780464,-3.984404144360022e-16,-9.343641633926389,-3.5655712932035863e-17
-1.9226329833151956e-16,-6.547022836745202,-3.223791848988171e-16,-5.236765078007944,-4.1699195871619903e-16,-9.96327586219064,-5.493987850476708e-17
-1.9010604676666319e-16,-6.949156131316976,-3.1006613659144344e-16,-5.55837345726598,-5.35733600839175e-16,-10.575199738508697,-7.995158329642534e-17
-2.4942106014641093e-16,-7.346074050761581,-3.831153831951699e-16,-5.875803826185556,-4.92954815427338e-16,-11.179180769130099,-6.649872920627979e-17
-3.197402761975581e-16,-7.737627007204128,-4.292936139192957e-16,-6.188936448823877,-4.508031233524701e-16,-11.774991229812887,-3.9931213577470567e-17
-3.185568769677157e-16,-8.123668592719293,-4.823078711269214e-16,-6.497654139902359,-4.713043611749154e-16,-12.362408242336661,8.217891247188492e-18
-3.2097349718091235e-16,-8.504055627898685,-5.259345016929668e-16,-6.801842303693338,-4.197740107434557e-16,-12.941213848449825,-2.5712219415668178e-18
-3.0727567529367277e-16,-8.8786482087227,-5.826512193662614e-16,-7.101388971545259,-4.165998677911485e-16,-13.511195081231534,9.38375936982857e-18
-3.228955459266258e-16,-9.24730975172487,-6.132993871300126e-16,-7.39618483803678,-4.331429423420654e-16,-14.072144033850103,4.9556063417571665e-17
-3.737557335465555e-16,-9.609907037437571,-6.619535050462091e-16,-7.686123295750846,-5.240969685101217e-16,-14.623857925700923,1.1548579976021345e-16
-3.65231745259953e-16,-9.966310252108723,-6.602500100127591e-16,-7.971100468660508,-5.499356381609537e-16,-15.16613916590815,9.087238145592207e-17
-3.508968390263445e-16,-10.316393027680007,-6.942898791400161e-16,-8.251015244118873,-6.761011667301909e-16,-15.698795414175724,1.155090266402274e-16
-3.550586044327352e-16,-10.660032480017893,-7.128561031947768e-16,-8.525769303446278,-7.803442339216043e-16,-16.221639638974494,1.4869578515346074e-16
-3.379953621320483e-16,-10.997109245389622,-7.352125988905953e-16,-8.795267151108401,-8.070250380068821e-16,-16.734490173053572,1.4487351108617105e-16
-3.5004898050595145e-16,-11.327507515177121,-7.387601862971761e-16,-9.059416142479728,-7.678483394424058e-16,-17.237170766265155,1.2941320279336964e-16
-3.4394315415303643e-16,-11.651115068822639,-7.275388282618201e-16,-9.318126510187426,-8.635423270332073e-16,-17.729510635693448,1.223703386556872e-16
-3.945605987822155e-16,-11.967823305000692,-7.097637115959604e-16,-9.571311389031344,-8.325362553216207e-16,-18.21134451307949,1.2182402860204462e-16
-3.985284811810868e-16,-12.277527271011776,-6.737623604249777e-16,-9.81888683947651,-9.31040254020187e-16,-18.682512689534974,1.1837687008176258e-16
-4.289824015029349e-16,-12.580125690394071,-6.52643810316301e-16,-10.060771869715184,-1.018568591299137e-15,-19.142861057539374,1.4321335436886626e-16
-4.1923232805702217e-16,-12.875520988750226,-6.532151963396956e-16,-10.296888456296118,-1.042906391728264e-15,-19.59224115021593,1.5625011267064713e-16
-4.1148702659378854e-16,-13.163619317787058,-6.331435050106002e-16,-10.527161563319405,-1.0736777038892966e-15,-20.03051017788333,1.2195258616906254e-16
-4.1361205629193486e-16,-13.44433057756688,-6.566458317972677e-16,-10.751519160195874,-1.0419782869760736e-15,-20.457531061881088,1.1032900824985348e-16
-4.3162619027462917e-16,-13.71756843696994,-6.573349850962295e-16,-10.969892237970694,-9.941615572525058e-16,-20.87317246566793,8.374071619414337e-17
